subject-visit,06,07,08,09,10,11,12,13,14,15,16,17,18
1,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,**PI**,no-pi,no-pi,no-pi,**PI**,NO-FILE
2,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,**PI**,no-pi,**PI**,no-pi,**PI**,no-pi,NO-FILE
3,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,**PI**,**PI**,**PI**,no-pi,no-pi,no-pi,NO-FILE
4,NO-FILE,NO-FILE,NO-FILE,no-pi,**PI**,**PI**,**PI**,no-pi,**PI**,no-pi,no-pi,**PI**,NO-FILE
5,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
6,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,**PI**,NO-FILE
7,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,**PI**,**PI**,**PI**,no-pi,**PI**,**PI**,NO-FILE
8,no-pi,no-pi,no-pi,no-pi,no-pi,NO-FILE,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi,NO-FILE
9,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,**PI**,no-pi,no-pi,**PI**,no-pi,no-pi,NO-FILE
10,no-pi,no-pi,no-pi,no-pi,**PI**,**PI**,**PI**,no-pi,**PI**,**PI**,**PI**,**PI**,NO-FILE
11,no-pi,no-pi,no-pi,no-pi,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,**PI**,NO-FILE
12,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,**PI**,**PI**,NO-FILE,NO-FILE
13,no-pi,no-pi,no-pi,no-pi,no-pi,**PI**,no-pi,**PI**,**PI**,**PI**,NO-FILE,NO-FILE,NO-FILE
14,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,**PI**,**PI**,no-pi,**PI**,NO-FILE,NO-FILE,NO-FILE
15,no-pi,no-pi,no-pi,no-pi,no-pi,**PI**,no-pi,**PI**,**PI**,**PI**,NO-FILE,NO-FILE,NO-FILE
16,no-pi,no-pi,no-pi,no-pi,**PI**,**PI**,no-pi,no-pi,no-pi,no-pi,NO-FILE,NO-FILE,NO-FILE
17,NO-FILE,no-pi,no-pi,no-pi,**PI**,no-pi,no-pi,no-pi,**PI**,no-pi,NO-FILE,NO-FILE,NO-FILE
18,no-pi,no-pi,**PI**,**PI**,**PI**,no-pi,**PI**,**PI**,no-pi,**PI**,NO-FILE,NO-FILE,NO-FILE
19,no-pi,no-pi,no-pi,**PI**,no-pi,no-pi,no-pi,no-pi,**PI**,no-pi,NO-FILE,NO-FILE,NO-FILE
20,no-pi,no-pi,**PI**,no-pi,no-pi,**PI**,no-pi,**PI**,no-pi,no-pi,NO-FILE,NO-FILE,NO-FILE
21,no-pi,no-pi,no-pi,no-pi,no-pi,**PI**,**PI**,no-pi,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
22,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
23,no-pi,no-pi,**PI**,no-pi,no-pi,**PI**,no-pi,no-pi,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
24,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
25,NO-FILE,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,**PI**,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
26,no-pi,no-pi,no-pi,no-pi,**PI**,no-pi,**PI**,no-pi,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
27,no-pi,**PI**,**PI**,**PI**,**PI**,**PI**,**PI**,**PI**,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
28,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,no-pi,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
29,**PI**,no-pi,**PI**,**PI**,**PI**,**PI**,**PI**,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
30,no-pi,no-pi,**PI**,no-pi,no-pi,no-pi,**PI**,**PI**,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
31,no-pi,**PI**,no-pi,no-pi,no-pi,no-pi,no-pi,**PI**,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
32,**PI**,no-pi,no-pi,no-pi,**PI**,**PI**,**PI**,**PI**,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
33,no-pi,no-pi,no-pi,**PI**,no-pi,no-pi,no-pi,no-pi,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
34,no-pi,no-pi,no-pi,no-pi,**PI**,**PI**,**PI**,**PI**,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
35,**PI**,**PI**,**PI**,no-pi,no-pi,no-pi,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
36,**PI**,no-pi,**PI**,**PI**,no-pi,no-pi,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
37,**PI**,no-pi,no-pi,no-pi,**PI**,no-pi,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
38,no-pi,**PI**,no-pi,**PI**,no-pi,**PI**,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
39,no-pi,**PI**,**PI**,**PI**,**PI**,**PI**,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
40,no-pi,no-pi,**PI**,**PI**,**PI**,**PI**,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
41,no-pi,no-pi,no-pi,**PI**,**PI**,**PI**,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
42,no-pi,no-pi,no-pi,**PI**,no-pi,**PI**,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
43,**PI**,no-pi,no-pi,no-pi,no-pi,**PI**,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
44,no-pi,no-pi,no-pi,no-pi,**PI**,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
45,no-pi,**PI**,no-pi,no-pi,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
46,no-pi,**PI**,no-pi,no-pi,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE,NO-FILE
